elapsed	rss_kb	fds	cpu_s	log_bytes
18916	529408	8	2910.55	29954048
18976	529424	8	2920.71	29954048
19036	529424	8	2930.78	29954048
19096	529408	8	2941.12	31002624
19156	529408	8	2951.33	31002624
19216	529408	8	2961.67	31002624
19276	529360	8	2971.71	31002624
19336	529360	8	2981.97	31002624
19396	529344	8	2991.96	31002624
19456	529296	8	3002.07	31002624
19516	529296	8	3012.20	31002624
19576	529296	8	3022.50	31002624
19636	529328	8	3032.79	31002624
19696	529392	8	3043.08	31002624
19756	529392	8	3053.63	32051200
19816	529376	8	3063.88	32051200
19876	529392	8	3074.09	32051200
19937	529456	8	3084.35	32051200
19997	529456	8	3094.38	32051200
20057	529440	8	3104.40	32051200
20117	529440	8	3114.68	32051200
20177	529408	8	3124.82	32051200
20237	529408	8	3135.03	32051200
20297	529408	8	3145.40	32051200
20357	529376	8	3155.67	32051200
20417	529376	8	3165.75	33099776
20477	529376	8	3176.27	33099776
20537	529392	8	3186.64	33099776
20597	529392	8	3196.79	33099776
20657	529392	8	3206.73	33099776
20717	529392	8	3216.87	33099776
20777	529280	8	3226.92	33099776
20837	529280	8	3237.20	33099776
20897	529280	8	3247.52	33099776
20957	529184	8	3257.73	33099776
21017	529184	8	3268.00	33099776
21077	529184	8	3278.24	34148352
21138	528960	8	3288.45	34148352
21198	528960	8	3298.54	34148352
21258	528960	8	3308.69	34148352
21318	528960	8	3318.78	34148352
21378	528784	8	3328.91	34148352
21438	528848	8	3339.37	34148352
21498	528624	8	3349.06	34148352
21558	528688	8	3359.27	34148352
21618	528768	8	3369.37	34148352
21678	528880	8	3379.49	34148352
21738	529008	8	3390.05	35196928
21798	528896	8	3400.45	35196928
21858	528976	8	3410.50	35196928
21918	529056	8	3420.82	35196928
21978	529072	8	3430.77	35196928
22038	529040	8	3440.98	35196928
22098	529056	8	3451.05	35196928
22158	529056	8	3461.09	35196928
22218	529072	8	3471.13	35196928
22278	528928	8	3481.25	35196928
22338	528880	8	3491.93	35196928
22399	528880	8	3502.24	36245504
22459	528880	8	3512.55	36245504
22519	528880	8	3522.70	36245504
22579	528880	8	3533.02	36245504
22639	528880	8	3543.16	36245504
22699	528848	8	3553.50	36245504
22759	528848	8	3563.63	36245504
22819	528848	8	3573.79	36245504
22879	528608	8	3583.80	36245504
22939	528608	8	3593.88	36245504
22999	528608	8	3603.91	36245504
23059	528624	8	3614.38	37294080
23119	528736	8	3624.52	37294080
23179	528752	8	3634.77	37294080
23239	528752	8	3645.14	37294080
23299	528752	8	3655.18	37294080
23359	528752	8	3665.33	37294080
23419	528752	8	3675.50	37294080
23479	528768	8	3686.04	37294080
23539	528832	8	3696.12	37294080
23600	528928	8	3706.32	37294080
23660	528928	8	3716.28	37294080
23720	528928	8	3726.39	38342656
23780	528928	8	3736.38	38342656
23840	528928	8	3746.36	38342656
23900	528928	8	3756.31	38342656
23960	528928	8	3766.39	38342656
24020	528928	8	3776.43	38342656
24080	528928	8	3786.64	38342656
24140	528928	8	3796.80	38342656
24200	528928	8	3807.55	38342656
24260	528928	8	3817.57	38342656
24320	528928	8	3827.73	38342656
24380	528912	8	3838.02	39391232
24440	528912	8	3848.32	39391232
24500	528912	8	3858.53	39391232
24560	528912	8	3868.86	39391232
24620	528912	8	3879.05	39391232
24680	528912	8	3889.24	39391232
24740	528688	8	3899.70	39391232
